Product,Date,MRP,Discount,CLP,Platform,City,City Tier,Impressions,Clicks,Spend,Quantity Sold,Competitor,Competitor MRP,Competitor Discount,Competitor Price
Cream ,4/2/2024,560,0.2,448,Flipkart,Jodhpur,Tier 3,12522,152,476,3,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Amazon,Lucknow,Tier 2,6171,226,1710,18,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Flipkart,Madurai,Tier 3,9102,528,1329,22,Competitor A,515,0.15,437.75
Cream ,4/3/2024,560,0.25,420,Myntra,Delhi,Tier 1,8553,644,2296,67,Competitor A,515,0,515
Cream ,4/3/2024,560,0.25,420,Flipkart,Kolkata,Tier 1,8490,210,1467,9,Competitor A,515,0,515
Cream ,4/3/2024,560,0.25,420,Flipkart,Pune,Tier 1,7842,474,1912,21,Competitor A,515,0,515
Cream ,4/3/2024,560,0.25,420,Myntra,Visakhapatnam,Tier 2,2937,198,845,7,Competitor A,515,0,515
Cream ,4/3/2024,560,0.25,420,Amazon,Coimbatore,Tier 2,1632,36,143,3,Competitor A,515,0,515
Cream ,4/3/2024,560,0.25,420,Purplle,Agra,Tier 2,1535,39,177,2,Competitor A,515,0,515
Cream ,4/3/2024,560,0.25,420,Myntra,Agra,Tier 2,4762,145,1459,14,Competitor A,515,0,515
Cream ,4/3/2024,560,0.25,420,Flipkart,Vijayawada,Tier 3,7581,505,498,13,Competitor A,515,0,515
Cream ,4/3/2024,560,0.25,420,Purplle,Hyderabad,Tier 1,1707,18,811,1,Competitor A,515,0,515
Cream ,4/3/2024,560,0.25,420,Purplle,Vijayawada,Tier 3,6068,77,2081,2,Competitor A,515,0,515
Cream ,4/3/2024,560,0.25,420,Purplle,Delhi,Tier 1,1429,103,64,3,Competitor A,515,0,515
Cream ,4/3/2024,560,0.25,420,Amazon,Agra,Tier 2,1861,97,539,4,Competitor A,515,0,515
Cream ,4/3/2024,560,0.25,420,Flipkart,Trivandrum,Tier 3,10453,207,493,20,Competitor A,515,0,515
Cream ,4/3/2024,560,0.25,420,Myntra,Lucknow,Tier 2,1003,67,153,4,Competitor A,515,0,515
Cream ,4/3/2024,560,0.25,420,Purplle,Jamshedpur,Tier 3,5019,319,923,19,Competitor A,515,0,515
Cream ,4/3/2024,560,0.25,420,Flipkart,Kanpur,Tier 2,12100,558,921,33,Competitor A,515,0,515
Cream ,4/4/2024,560,0,560,Amazon,Varanasi,Tier 3,9226,117,2652,8,Competitor A,515,0.15,437.75
Cream ,4/4/2024,560,0,560,Purplle,Trivandrum,Tier 3,5354,87,1688,6,Competitor A,515,0.15,437.75
Cream ,4/4/2024,560,0,560,Purplle,Amritsar,Tier 3,6755,302,2607,22,Competitor A,515,0.15,437.75
Cream ,4/4/2024,560,0,560,Purplle,Vijayawada,Tier 3,4584,88,2350,1,Competitor A,515,0.15,437.75
Cream ,4/4/2024,560,0,560,Purplle,Varanasi,Tier 3,5173,377,883,7,Competitor A,515,0.15,437.75
Cream ,4/4/2024,560,0,560,Myntra,Visakhapatnam,Tier 2,2441,186,653,14,Competitor A,515,0.15,437.75
Cream ,4/4/2024,560,0,560,Myntra,Vijayawada,Tier 3,2640,206,175,4,Competitor A,515,0.15,437.75
Cream ,4/4/2024,560,0,560,Myntra,Nagpur,Tier 2,1089,49,437,2,Competitor A,515,0.15,437.75
Cream ,4/4/2024,560,0,560,Purplle,Bangalore,Tier 1,1999,43,453,1,Competitor A,515,0.15,437.75
Cream ,4/4/2024,560,0,560,Myntra,Lucknow,Tier 2,8912,375,2092,25,Competitor A,515,0.15,437.75
Cream ,4/4/2024,560,0,560,Myntra,Srinagar,Tier 3,3660,215,274,6,Competitor A,515,0.15,437.75
Cream ,4/4/2024,560,0,560,Myntra,Jaipur,Tier 2,5388,415,2295,18,Competitor A,515,0.15,437.75
Cream ,4/4/2024,560,0,560,Myntra,Madurai,Tier 3,3483,242,1210,6,Competitor A,515,0.15,437.75
Cream ,4/4/2024,560,0,560,Amazon,Lucknow,Tier 2,4260,289,1473,5,Competitor A,515,0.15,437.75
Cream ,4/4/2024,560,0,560,Purplle,Hyderabad,Tier 1,4395,340,619,11,Competitor A,515,0.15,437.75
Cream ,4/4/2024,560,0,560,Myntra,Patna,Tier 2,5472,238,2190,6,Competitor A,515,0.15,437.75
Cream ,4/4/2024,560,0,560,Nykaa,Srinagar,Tier 3,11545,422,237,28,Competitor A,515,0.15,437.75
Cream ,4/4/2024,560,0,560,Myntra,Trivandrum,Tier 3,3726,84,441,3,Competitor A,515,0.15,437.75
Cream ,4/4/2024,560,0,560,Nykaa,Pune,Tier 1,9615,368,2716,16,Competitor A,515,0.15,437.75
Cream ,4/4/2024,560,0,560,Nykaa,Bangalore,Tier 1,2521,145,498,8,Competitor A,515,0.15,437.75
Cream ,4/5/2024,560,0.15,476,Nykaa,Pune,Tier 1,7542,381,370,24,Competitor A,515,0,515
Cream ,4/5/2024,560,0.15,476,Nykaa,Jodhpur,Tier 3,4303,49,482,1,Competitor A,515,0,515
Cream ,4/5/2024,560,0.15,476,Myntra,Hyderabad,Tier 1,5839,424,2496,22,Competitor A,515,0,515
Cream ,4/5/2024,560,0.15,476,Purplle,Coimbatore,Tier 2,835,26,181,1,Competitor A,515,0,515
Cream ,4/5/2024,560,0.15,476,Purplle,Pune,Tier 1,1396,92,49,2,Competitor A,515,0,515
Cream ,4/5/2024,560,0.15,476,Purplle,Guwahati,Tier 3,2613,169,212,8,Competitor A,515,0,515
Cream ,4/5/2024,560,0.15,476,Amazon,Jamshedpur,Tier 3,9175,694,1358,48,Competitor A,515,0,515
Cream ,4/5/2024,560,0.15,476,Amazon,Lucknow,Tier 2,1936,135,44,9,Competitor A,515,0,515
Cream ,4/5/2024,560,0.15,476,Nykaa,Hyderabad,Tier 1,7116,421,2249,21,Competitor A,515,0,515
Cream ,4/5/2024,560,0.15,476,Purplle,Delhi,Tier 1,2805,217,379,8,Competitor A,515,0,515
Cream ,4/5/2024,560,0.15,476,Purplle,Agra,Tier 2,2853,35,744,2,Competitor A,515,0,515
Cream ,4/5/2024,560,0.15,476,Nykaa,Lucknow,Tier 2,5587,384,788,29,Competitor A,515,0,515
Cream ,4/5/2024,560,0.15,476,Nykaa,Guwahati,Tier 3,2391,161,298,5,Competitor A,515,0,515
Cream ,4/5/2024,560,0.15,476,Flipkart,Srinagar,Tier 3,9711,158,817,12,Competitor A,515,0,515
Cream ,4/5/2024,560,0.15,476,Purplle,Lucknow,Tier 2,1348,88,593,7,Competitor A,515,0,515
Cream ,4/5/2024,560,0.15,476,Purplle,Vijayawada,Tier 3,2520,94,1192,8,Competitor A,515,0,515
Cream ,4/5/2024,560,0.15,476,Nykaa,Coimbatore,Tier 2,1815,33,813,3,Competitor A,515,0,515
Cream ,4/5/2024,560,0.15,476,Nykaa,Indore,Tier 2,4293,93,367,3,Competitor A,515,0,515
Cream ,4/5/2024,560,0.15,476,Amazon,Delhi,Tier 1,5343,196,883,7,Competitor A,515,0,515
Cream ,4/6/2024,560,0.25,420,Myntra,Kolkata,Tier 1,6990,432,2527,24,Competitor A,515,0,515
Cream ,4/6/2024,560,0.25,420,Myntra,Trivandrum,Tier 3,877,69,343,1,Competitor A,515,0,515
Cream ,4/6/2024,560,0.25,420,Amazon,Jamshedpur,Tier 3,562,25,163,1,Competitor A,515,0,515
Cream ,4/6/2024,560,0.25,420,Purplle,Amritsar,Tier 3,3920,173,1944,20,Competitor A,515,0,515
Cream ,4/6/2024,560,0.25,420,Amazon,Bangalore,Tier 1,10707,350,2984,10,Competitor A,515,0,515
Cream ,4/6/2024,560,0.25,420,Amazon,Amritsar,Tier 3,10258,590,3103,65,Competitor A,515,0,515
Cream ,4/6/2024,560,0.25,420,Flipkart,Hyderabad,Tier 1,1175,67,23,6,Competitor A,515,0,515
Cream ,4/6/2024,560,0.25,420,Myntra,Patna,Tier 2,6506,139,2693,13,Competitor A,515,0,515
Cream ,4/6/2024,560,0.25,420,Myntra,Kanpur,Tier 2,3805,177,1010,14,Competitor A,515,0,515
Cream ,4/6/2024,560,0.25,420,Amazon,Bhopal,Tier 2,694,36,76,1,Competitor A,515,0,515
Cream ,4/6/2024,560,0.25,420,Myntra,Delhi,Tier 1,4695,109,1983,5,Competitor A,515,0,515
Cream ,4/6/2024,560,0.25,420,Myntra,Faridabad,Tier 2,5309,370,1989,18,Competitor A,515,0,515
Cream ,4/6/2024,560,0.25,420,Myntra,Mumbai,Tier 1,4786,349,121,8,Competitor A,515,0,515
Cream ,4/6/2024,560,0.25,420,Myntra,Lucknow,Tier 2,216,11,22,1,Competitor A,515,0,515
Cream ,4/6/2024,560,0.25,420,Purplle,Visakhapatnam,Tier 2,2775,161,1583,19,Competitor A,515,0,515
Cream ,4/6/2024,560,0.25,420,Purplle,Nagpur,Tier 2,4510,117,487,4,Competitor A,515,0,515
Cream ,4/6/2024,560,0.25,420,Myntra,Amritsar,Tier 3,7669,416,2190,22,Competitor A,515,0,515
Cream ,4/6/2024,560,0.25,420,Myntra,Nagpur,Tier 2,2233,127,298,15,Competitor A,515,0,515
Cream ,4/6/2024,560,0.25,420,Nykaa,Kanpur,Tier 2,3496,52,366,2,Competitor A,515,0,515
Cream ,4/6/2024,560,0.25,420,Nykaa,Indore,Tier 2,6074,275,2651,24,Competitor A,515,0,515
Cream ,4/6/2024,560,0.25,420,Nykaa,Agra,Tier 2,8031,559,1706,21,Competitor A,515,0,515
Cream ,4/7/2024,560,0.25,420,Flipkart,Bhopal,Tier 2,8082,576,1102,27,Competitor A,515,0.2,412
Cream ,4/7/2024,560,0.25,420,Nykaa,Madurai,Tier 3,1476,114,510,3,Competitor A,515,0.2,412
Cream ,4/7/2024,560,0.25,420,Flipkart,Visakhapatnam,Tier 2,5704,332,1317,23,Competitor A,515,0.2,412
Cream ,4/7/2024,560,0.25,420,Flipkart,Delhi,Tier 1,3308,244,1005,25,Competitor A,515,0.2,412
Cream ,4/7/2024,560,0.25,420,Amazon,Delhi,Tier 1,11365,900,2518,41,Competitor A,515,0.2,412
Cream ,4/7/2024,560,0.25,420,Nykaa,Mumbai,Tier 1,5187,372,2140,38,Competitor A,515,0.2,412
Cream ,4/7/2024,560,0.25,420,Flipkart,Faridabad,Tier 2,12577,646,1447,75,Competitor A,515,0.2,412
Cream ,4/7/2024,560,0.25,420,Flipkart,Trivandrum,Tier 3,790,59,77,2,Competitor A,515,0.2,412
Cream ,4/7/2024,560,0.25,420,Amazon,Nagpur,Tier 2,6165,292,1434,34,Competitor A,515,0.2,412
Cream ,4/7/2024,560,0.25,420,Amazon,Indore,Tier 2,5391,68,1376,3,Competitor A,515,0.2,412
Cream ,4/7/2024,560,0.25,420,Nykaa,Pune,Tier 1,3391,177,884,11,Competitor A,515,0.2,412
Cream ,4/7/2024,560,0.25,420,Amazon,Agra,Tier 2,2145,164,669,7,Competitor A,515,0.2,412
Cream ,4/7/2024,560,0.25,420,Myntra,Nagpur,Tier 2,7960,129,3490,12,Competitor A,515,0.2,412
Cream ,4/7/2024,560,0.25,420,Flipkart,Kanpur,Tier 2,2457,179,705,9,Competitor A,515,0.2,412
Cream ,4/7/2024,560,0.25,420,Flipkart,Srinagar,Tier 3,533,12,154,1,Competitor A,515,0.2,412
Cream ,4/7/2024,560,0.25,420,Nykaa,Jodhpur,Tier 3,6447,144,2066,16,Competitor A,515,0.2,412
Cream ,4/7/2024,560,0.25,420,Nykaa,Amritsar,Tier 3,168,9,51,1,Competitor A,515,0.2,412
Cream ,4/7/2024,560,0.25,420,Flipkart,Coimbatore,Tier 2,12846,346,137,13,Competitor A,515,0.2,412
Cream ,4/7/2024,560,0.25,420,Amazon,Faridabad,Tier 2,8448,521,1447,30,Competitor A,515,0.2,412
Cream ,4/7/2024,560,0.25,420,Myntra,Kolkata,Tier 1,7436,418,1337,26,Competitor A,515,0.2,412
Cream ,4/7/2024,560,0.25,420,Nykaa,Lucknow,Tier 2,3256,230,1340,15,Competitor A,515,0.2,412
Cream ,4/8/2024,560,0.3,392,Flipkart,Srinagar,Tier 3,6077,315,296,30,Competitor A,515,0.1,463.5
Cream ,4/8/2024,560,0.3,392,Nykaa,Bangalore,Tier 1,7495,280,2619,27,Competitor A,515,0.1,463.5
Cream ,4/8/2024,560,0.3,392,Purplle,Jodhpur,Tier 3,1875,96,222,4,Competitor A,515,0.1,463.5
Cream ,4/8/2024,560,0.3,392,Flipkart,Vijayawada,Tier 3,11612,706,3073,27,Competitor A,515,0.1,463.5
Cream ,4/8/2024,560,0.3,392,Myntra,Nagpur,Tier 2,1973,68,129,5,Competitor A,515,0.1,463.5
Cream ,4/8/2024,560,0.3,392,Nykaa,Visakhapatnam,Tier 2,11102,445,681,40,Competitor A,515,0.1,463.5
Cream ,4/8/2024,560,0.3,392,Nykaa,Kolkata,Tier 1,9835,771,2113,71,Competitor A,515,0.1,463.5
Cream ,4/8/2024,560,0.3,392,Myntra,Madurai,Tier 3,430,11,149,1,Competitor A,515,0.1,463.5
Cream ,4/8/2024,560,0.3,392,Flipkart,Varanasi,Tier 3,7276,418,253,24,Competitor A,515,0.1,463.5
Cream ,4/8/2024,560,0.3,392,Nykaa,Allahabad,Tier 3,2397,127,49,9,Competitor A,515,0.1,463.5
Cream ,4/8/2024,560,0.3,392,Nykaa,Vijayawada,Tier 3,6019,379,2381,45,Competitor A,515,0.1,463.5
Cream ,4/8/2024,560,0.3,392,Flipkart,Patna,Tier 2,6210,255,1075,8,Competitor A,515,0.1,463.5
Cream ,4/8/2024,560,0.3,392,Flipkart,Agra,Tier 2,8066,168,2932,7,Competitor A,515,0.1,463.5
Cream ,4/8/2024,560,0.3,392,Myntra,Indore,Tier 2,909,32,341,2,Competitor A,515,0.1,463.5
Cream ,4/8/2024,560,0.3,392,Myntra,Lucknow,Tier 2,4607,51,416,5,Competitor A,515,0.1,463.5
Cream ,4/8/2024,560,0.3,392,Nykaa,Indore,Tier 2,11169,147,1875,12,Competitor A,515,0.1,463.5
Cream ,4/8/2024,560,0.3,392,Myntra,Jodhpur,Tier 3,550,16,129,1,Competitor A,515,0.1,463.5
Cream ,4/8/2024,560,0.3,392,Myntra,Guwahati,Tier 3,563,34,225,2,Competitor A,515,0.1,463.5
Cream ,4/8/2024,560,0.3,392,Purplle,Indore,Tier 2,4146,311,1990,38,Competitor A,515,0.1,463.5
Cream ,4/8/2024,560,0.3,392,Myntra,Visakhapatnam,Tier 2,2353,176,122,16,Competitor A,515,0.1,463.5
Cream ,4/8/2024,560,0.3,392,Myntra,Kolkata,Tier 1,5106,114,157,10,Competitor A,515,0.1,463.5
Cream ,4/9/2024,560,0.2,448,Nykaa,Agra,Tier 2,5973,226,2004,6,Competitor A,515,0.05,489.25
Cream ,4/9/2024,560,0.2,448,Flipkart,Hyderabad,Tier 1,3771,37,592,2,Competitor A,515,0.05,489.25
Cream ,4/9/2024,560,0.2,448,Amazon,Amritsar,Tier 3,6507,140,371,6,Competitor A,515,0.05,489.25
Cream ,4/9/2024,560,0.2,448,Amazon,Pune,Tier 1,6346,237,397,6,Competitor A,515,0.05,489.25
Cream ,4/9/2024,560,0.2,448,Purplle,Jaipur,Tier 2,1978,93,258,2,Competitor A,515,0.05,489.25
Cream ,4/9/2024,560,0.2,448,Amazon,Bhopal,Tier 2,3249,84,674,9,Competitor A,515,0.05,489.25
Cream ,4/9/2024,560,0.2,448,Nykaa,Nagpur,Tier 2,11289,300,3138,24,Competitor A,515,0.05,489.25
Cream ,4/9/2024,560,0.2,448,Flipkart,Srinagar,Tier 3,7597,244,2362,13,Competitor A,515,0.05,489.25
Cream ,4/9/2024,560,0.2,448,Flipkart,Visakhapatnam,Tier 2,11794,177,3591,9,Competitor A,515,0.05,489.25
Cream ,4/9/2024,560,0.2,448,Nykaa,Kanpur,Tier 2,7952,622,2055,27,Competitor A,515,0.05,489.25
Cream ,4/9/2024,560,0.2,448,Flipkart,Mumbai,Tier 1,3794,202,1031,18,Competitor A,515,0.05,489.25
Cream ,4/9/2024,560,0.2,448,Nykaa,Chennai,Tier 1,11774,678,883,43,Competitor A,515,0.05,489.25
Cream ,4/9/2024,560,0.2,448,Nykaa,Faridabad,Tier 2,10450,671,1265,20,Competitor A,515,0.05,489.25
Cream ,4/9/2024,560,0.2,448,Flipkart,Vijayawada,Tier 3,9109,314,1902,12,Competitor A,515,0.05,489.25
Cream ,4/9/2024,560,0.2,448,Purplle,Vijayawada,Tier 3,104,3,1,1,Competitor A,515,0.05,489.25
Cream ,4/9/2024,560,0.2,448,Flipkart,Amritsar,Tier 3,10614,303,515,16,Competitor A,515,0.05,489.25
Cream ,4/9/2024,560,0.2,448,Purplle,Faridabad,Tier 2,4008,272,2316,12,Competitor A,515,0.05,489.25
Cream ,4/9/2024,560,0.2,448,Flipkart,Patna,Tier 2,1378,40,313,2,Competitor A,515,0.05,489.25
Cream ,4/9/2024,560,0.2,448,Flipkart,Jaipur,Tier 2,141,4,47,1,Competitor A,515,0.05,489.25
Cream ,4/10/2024,560,0.05,532,Purplle,Kanpur,Tier 2,2684,122,344,6,Competitor A,515,0,515
Cream ,4/10/2024,560,0.05,532,Nykaa,Jamshedpur,Tier 3,6661,289,933,9,Competitor A,515,0,515
Cream ,4/10/2024,560,0.05,532,Purplle,Varanasi,Tier 3,130,1,59,1,Competitor A,515,0,515
Cream ,4/10/2024,560,0.05,532,Flipkart,Allahabad,Tier 3,12922,685,2299,48,Competitor A,515,0,515
Cream ,4/10/2024,560,0.05,532,Amazon,Delhi,Tier 1,3124,167,954,4,Competitor A,515,0,515
Cream ,4/10/2024,560,0.05,532,Flipkart,Faridabad,Tier 2,11069,217,3319,10,Competitor A,515,0,515
Cream ,4/10/2024,560,0.05,532,Myntra,Madurai,Tier 3,3071,49,531,1,Competitor A,515,0,515
Cream ,4/10/2024,560,0.05,532,Amazon,Varanasi,Tier 3,9916,493,645,40,Competitor A,515,0,515
Cream ,4/10/2024,560,0.05,532,Amazon,Allahabad,Tier 3,14455,388,569,29,Competitor A,515,0,515
Cream ,4/10/2024,560,0.05,532,Purplle,Coimbatore,Tier 2,5793,120,364,10,Competitor A,515,0,515
Cream ,4/10/2024,560,0.05,532,Purplle,Guwahati,Tier 3,2765,56,925,2,Competitor A,515,0,515
Cream ,4/10/2024,560,0.05,532,Purplle,Madurai,Tier 3,1152,70,230,3,Competitor A,515,0,515
Cream ,4/10/2024,560,0.05,532,Amazon,Bangalore,Tier 1,3616,52,971,4,Competitor A,515,0,515
Cream ,4/10/2024,560,0.05,532,Myntra,Bhopal,Tier 2,7490,120,2729,7,Competitor A,515,0,515
Cream ,4/10/2024,560,0.05,532,Nykaa,Agra,Tier 2,787,40,311,3,Competitor A,515,0,515
Cream ,4/10/2024,560,0.05,532,Nykaa,Vijayawada,Tier 3,10551,223,2444,14,Competitor A,515,0,515
Cream ,4/10/2024,560,0.05,532,Amazon,Hyderabad,Tier 1,8355,376,382,24,Competitor A,515,0,515
Cream ,4/11/2024,560,0.2,448,Purplle,Bangalore,Tier 1,2823,41,556,2,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Nykaa,Chennai,Tier 1,11355,720,3939,31,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Amazon,Kolkata,Tier 1,1332,23,323,2,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Nykaa,Coimbatore,Tier 2,6543,276,2352,15,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Nykaa,Hyderabad,Tier 1,3054,153,1076,4,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Purplle,Madurai,Tier 3,744,13,290,1,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Amazon,Jaipur,Tier 2,8580,677,525,62,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Myntra,Coimbatore,Tier 2,4083,75,722,4,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Purplle,Amritsar,Tier 3,323,19,124,1,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Purplle,Hyderabad,Tier 1,6776,319,2158,15,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Flipkart,Pune,Tier 1,4826,317,1684,10,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Nykaa,Jamshedpur,Tier 3,9326,653,2925,51,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Nykaa,Mumbai,Tier 1,1843,28,422,3,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Flipkart,Hyderabad,Tier 1,7403,442,345,37,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Purplle,Kolkata,Tier 1,5876,335,507,32,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Amazon,Jamshedpur,Tier 3,9009,370,2889,40,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Nykaa,Lucknow,Tier 2,1498,59,305,5,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Myntra,Srinagar,Tier 3,2892,188,365,11,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Flipkart,Jaipur,Tier 2,6974,195,1421,10,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Myntra,Indore,Tier 2,7625,363,3397,9,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Myntra,Pune,Tier 1,4448,288,543,27,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Flipkart,Nagpur,Tier 2,5470,124,756,8,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Flipkart,Indore,Tier 2,5414,152,977,6,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Nykaa,Guwahati,Tier 3,8056,583,3083,42,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Flipkart,Trivandrum,Tier 3,5599,389,1221,39,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Nykaa,Allahabad,Tier 3,2490,156,757,10,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Myntra,Visakhapatnam,Tier 2,7857,148,620,11,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Flipkart,Visakhapatnam,Tier 2,2506,120,994,7,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Flipkart,Mumbai,Tier 1,6277,488,1185,56,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Amazon,Madurai,Tier 3,1063,43,91,1,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Amazon,Bangalore,Tier 1,9366,543,1835,28,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Purplle,Coimbatore,Tier 2,3403,40,383,1,Competitor A,515,0.1,463.5
Cream ,4/11/2024,560,0.2,448,Amazon,Allahabad,Tier 3,9834,632,3074,15,Competitor A,515,0.1,463.5
Cream ,4/12/2024,560,0.1,504,Flipkart,Hyderabad,Tier 1,8767,383,1352,28,Competitor A,515,0.2,412
Cream ,4/12/2024,560,0.1,504,Myntra,Hyderabad,Tier 1,2014,139,495,5,Competitor A,515,0.2,412
Cream ,4/12/2024,560,0.1,504,Purplle,Patna,Tier 2,6717,89,2232,3,Competitor A,515,0.2,412
Cream ,4/12/2024,560,0.1,504,Myntra,Delhi,Tier 1,7744,126,2920,6,Competitor A,515,0.2,412
